It,Stephen King,1986
The Player of Games,Iain M. Banks,1988
The Waves,Virginia Woolf,1931
The Angel Experiment,James Patterson,2005
Teen Idol,Meg Cabot,2004
Armageddon's Children,Terry Brooks,2006
Legend ,David Gemmell,1984
The Thief,Megan Whalen Turner,1996
Welcome to Temptation,Jennifer Crusie,1996
The Gods Themselves,Isaac Asimov,1972
Bullet,Laurell K. Hamilton,2010
A Dog's Purpose ,W. Bruce Cameron,2010
The Devil You Know,Mike Carey,2006
number9dream,David Mitchell,2001
A Week to Be Wicked,Tessa Dare,2012
A Place Called Here,Cecelia Ahern,2006
Master and Commander,Patrick O'Brian,1969
The Six Wives of Henry VIII,Alison Weir,1980
Industrial Magic,Kelley Armstrong,2004
The Will of the Empress,Tamora Pierce,2005
Violets Are Blue,James Patterson,2001
Men at Arms,Terry Pratchett,1993
The Power of One,Bryce Courtenay,1989
A Discovery of Witches,Deborah Harkness,2011
Free Will,Sam Harris,2012
Faithless,Karin Slaughter,2005
Three Wishes,Liane Moriarty,2003
Fatherland,Robert   Harris,1992
Never Love a Highlander,Maya Banks,2011
Altered,Jennifer Rush,2013
Fractured,Karin Slaughter,2008
The Charlemagne Pursuit,Steve Berry,2008
I'll Be Seeing You,Mary Higgins Clark,1993
Wench,Dolen Perkins-Valdez,2009
Red Mars,Kim Stanley Robinson,1993
The 100,Kass Morgan,2013
The Mark of Athena,Rick Riordan,2012
Her Fearful Symmetry,Audrey Niffenegger,2009
Vicious,"V.E. Schwab, Victoria Schwab",2013
Bad Girls Don't Die,Katie Alender,2009
Pebble in the Sky,Isaac Asimov,1950
Safe Harbour,Danielle Steel,2003
Lincoln,David Herbert Donald,1995
The Titan's Curse,Rick Riordan,2007
Tropic of Capricorn,Henry Miller,1938
The Bluest Eye,Toni Morrison,1970
Wife 22,Melanie Gideon,2008
Frog and Toad Together,Arnold Lobel,1971
The Lacuna,Barbara Kingsolver,2009
Slapstick,Kurt Vonnegut Jr.,1976
Fearless Fourteen,Janet Evanovich,2008
A Christmas Carol,Charles Dickens,1843
Straight Talking,Jane Green,1997
Never Let Me Go,Kazuo Ishiguro,2005
Ice Station Zebra,Alistair MacLean,1963
The Edible Woman,Margaret Atwood,1969
The English Assassin,Daniel Silva,2002
Born of the Night,Sherrilyn Kenyon,1996
Two Ravens and One Crow,Kevin Hearne,2012
Nicholas and Alexandra,Robert K. Massie,1967
A Grief Observed,C.S. Lewis,1961
"Right Ho, Jeeves",P.G. Wodehouse,1934
Mr. Perfect,Linda Howard,2000
Moonrise,Erin Hunter,2005
Moon Over Manifest,Clare Vanderpool,2010
MaddAddam,Margaret Atwood,2013
The Good Guy,Dean Koontz,1989
Shoe Addicts Anonymous ,Beth Harbison,2007
The Gift,Julie Garwood,1991
Winter's Bone,Daniel Woodrell,2006
A Death in the Family,James Agee,1957
The Firm,John Grisham,1991
Antigone,Jean Anouilh,1944
Spook Country,William Gibson,2007
Esio Trot,"Roald Dahl, Quentin Blake",1990
The Lady Elizabeth,Alison Weir,2008
One Crazy Summer,Rita Williams-Garcia,2010
Teardrop,Lauren Kate,2013
Fahrenheit 451,Ray Bradbury,1953
Independent Study,Joelle Charbonneau,2014
Tell Me Three Things,Julie Buxbaum,2016
The Brutal Telling,Louise Penny,2009
Wyrd Sisters,Terry Pratchett,1988
Little Earthquakes,Jennifer Weiner,2004
The City of Ember,Jeanne DuPrau,2003
A Gate at the Stairs,Lorrie Moore,2009
The Ugly Truth,Jeff Kinney,2010
Beauty from Pain,Georgia Cates,2013
Code to Zero,Ken Follett,2000
The Twentieth Wife,Indu Sundaresan,2002
The Big Nowhere,James Ellroy,1988
Beautiful You,Chuck Palahniuk,2014
Dreams of Gods & Monsters,Laini Taylor,2014
Dragonfly in Amber,Diana Gabaldon,1992
Freak the Mighty,Rodman Philbrick,1993
Blue Mars ,Kim Stanley Robinson,1996
The Virgin Suicides,Jeffrey Eugenides,1993
Pandora's Star,Peter F. Hamilton,2004
Cloudstreet,Tim Winton,1991
The Lunatic Cafe,Laurell K. Hamilton,1996
Under the Tuscan Sun,Frances Mayes,1996
Memoirs of a Geisha,Arthur Golden,1997
My Friend Leonard,James Frey,2005
Calico Joe,John Grisham,2012
Girl of Nightmares,Kendare Blake,2012
Bad Monkey,Carl Hiaasen,2013
High-Rise,J.G. Ballard,1975
The Miniaturist,Jessie Burton,2014
The Last Olympian,Rick Riordan,2009
Trinity: A Novel of Ireland,Leon Uris,1976
Ford County,John Grisham,2008
Flowers for Algernon,Daniel Keyes,1966
Ellen Foster,Kaye Gibbons,1987
The Hollow Hills,Mary  Stewart,1973
Fantasy In Death,J.D. Robb,2010
First Among Equals,Jeffrey Archer,1983
Madeline's Rescue,Ludwig Bemelmans,1953
See Jane Date,Melissa Senate,2001
The Almost Moon,Alice Sebold,2007
Truly Madly Guilty,Liane Moriarty,2016
Dead Heat,Patricia Briggs,2015
The Obituary Writer,Ann Hood,2013
Parts,Tedd Arnold,1997
The Face,Dean Koontz,2003
At Grave's End,Jeaniene Frost,2008
The Collaborator,Margaret Leroy,2011
The neon rain,James Lee Burke,1987
Slated,Teri Terry,2012
Sein und Zeit,Martin Heidegger,1927
Saving Faith,David Baldacci,1999
Jurassic Park,Michael Crichton,1990
Chrysanthemum,Kevin Henkes,1991
The Emerald Atlas,John  Stephens,2011
Dragon Haven,Robin Hobb,2010
The Charm School,Nelson DeMille,1988
The Glass Castle,Jeannette Walls,2005
Hogfather,Terry Pratchett,1996
Plateforme,Michel Houellebecq,2001
The Hellbound Heart,Clive Barker,1986
Zodiac,Neal Stephenson,1988
Redemption Ark,Alastair Reynolds,2003
Montana Sky,Nora Roberts,1996
Skin Game,Jim Butcher,2014
The Game,Neil Strauss,2005
Dawn ,V.C. Andrews,1990
Our Souls at Night,Kent Haruf,2015
One Day,David Nicholls,2009
Fire Study,Maria V. Snyder,2008
The Children Act,Ian McEwan,2014
The First Rule,Robert Crais,2010
Remember Me ,Mary Higgins Clark,1994
The Heist,Daniel Silva,2014
The Struggle,L.J. Smith,1991
The Sky Is Everywhere,Jandy Nelson,2010
Lawrence in Arabia,Scott Anderson,2013
Broken Monsters,Lauren Beukes,2014
The Sixth Man,David Baldacci,2011
Tender Is the Night,F. Scott Fitzgerald,1933
Port Mortuary,Patricia Cornwell,2010
Crush,Nicole  Williams,2013
Thankless in Death ,J.D. Robb,2013
The Poisonwood Bible,Barbara Kingsolver,1998
American on Purpose,Craig Ferguson,2009
Pirate Latitudes,Michael Crichton,2009
Again the Magic ,Lisa Kleypas,2004
The Bone Bed,Patricia Cornwell,2012
Stone Mattress,Margaret Atwood,2014
Ship Breaker,Paolo Bacigalupi,2010
Enchantment,Orson Scott Card,1999
Night of the Living Dummy,R.L. Stine,1993
The Crown Tower,Michael J. Sullivan,2013
The Lathe of Heaven,Ursula K. Le Guin,1971
Crispin: The Cross of Lead,Avi,2002
California,Edan Lepucki,2014
The Song of Achilles,Madeline Miller,2011
Dark of the Moon,John Sandford,2004
Eight Hundred Grapes,Laura Dave,2015
Bad for You,Abbi Glines,2014
The Black Cat,Edgar Allan Poe,1843
A Wedding in December,Anita Shreve,2005
The Capture,Kathryn Lasky,2003
The Accident,Linwood Barclay,2011
The Providence of Fire,Brian Staveley,2015
The Sculptor,Scott McCloud,2015
Dream Chaser,Sherrilyn Kenyon,2008
Finding the Dream,Nora Roberts,1996
Web of Lies,Jennifer Estep,2010
The Ruby in the Smoke,Philip Pullman,1985
The Martian,Andy Weir,2012
The Light Between Oceans,M.L. Stedman,2012
Fallen in Love,Lauren Kate,2012
Pursuit of Honor,Vince Flynn,2009
American Assassin,Vince Flynn,2010
A Civil Action,Jonathan Harr,1995
Frog Music,Emma Donoghue,2014
On the Beach,Nevil Shute,1957
Magician,Raymond E. Feist,1982
The Shining Ones,David Eddings,1993
Skeleton Crew,Stephen King,1985
Skin,Ted Dekker,2006
Trouble in Mudbug,Jana Deleon,2009
Her Daughter's Dream,Francine Rivers,2010
Chasing Fire,Nora Roberts,2011
The Magicians,Lev Grossman,2009
"Morning, Noon & Night",Sidney Sheldon,1995
Open House,Elizabeth Berg,2000
Last to Die,Tess Gerritsen,2012
Summer Knight,Jim Butcher,2002
David and Goliath,Malcolm Gladwell,2011
As I Lay Dying,William Faulkner,1930
The Girl in the Steel Corset,Kady Cross,2011
The Romanov Prophecy,Steve Berry,2004
Max ,James Patterson,2009
Sin Undone,Larissa Ione,2010
Moonlight Mile ,Dennis Lehane,2010
Sepulchre,Kate Mosse,2007
Rock Chick Rescue,Kristen Ashley,2009
Jack & Jill,James Patterson,1996
Fracture Me,Tahereh Mafi,2013
How I Live Now,Meg Rosoff,2004
John Adams,David McCullough,2001
Firefly Lane,Kristin Hannah,2008
Mockingjay,Suzanne Collins,2010
An Offer From a Gentleman,Julia Quinn,2001
Elephants Can Remember,Agatha Christie,1972
Angel,James Patterson,2011
Succubus Blues,Richelle Mead,2007
Necroscope ,Brian Lumley,1986
Cross Country,James Patterson,2008
The Pearls of Lutra,Brian Jacques,1996
The Broken Window,Jeffery Deaver,2008
The Truth,Terry Pratchett,2000
Villa Incognito,Tom Robbins,2003
Not Without My Daughter,Betty Mahmoody,1987
Flash and Bones,Kathy Reichs,2011
Endlessly,Kiersten White,2012
The Chrysalids,John Wyndham,1955
Rumpelstilzchen,Paul O. Zelinsky,1986
Obsidian,Jennifer L. Armentrout,2011
The Sound of Gravel,Ruth Wariner,2016
The Pursuit of Happyness,Chris Gardner,2006
Jailbird,Kurt Vonnegut Jr.,1979
Falling Up,Shel Silverstein,1996
A Walk to Remember,Nicholas Sparks,1999
Clockwork Prince,Cassandra Clare,2011
The Time Keeper,Mitch Albom,2012
Childhood's End,Arthur C. Clarke,1953
The Sorceress,Michael Scott,2009
Guards! Guards!,Terry Pratchett,1989
The Great and Secret Show,Clive Barker,1989
Gabriel's Inferno,Sylvain Reynard,2011
E Is for Evidence,Sue Grafton,1988
Memories of Ice,Steven Erikson,2001
Calculated in Death,J.D. Robb,2013
"Catherine, Called Birdy",Karen Cushman,1994
Can Love Happen Twice?,Ravinder Singh,2011
Twenties Girl,Sophie Kinsella,2009
The Secret Speech,Tom Rob Smith,2009
The Ringworld Engineers ,Larry Niven,1979
Bloody Valentine,Melissa de la Cruz,2010
Garden Spells,Sarah Addison Allen,2007
Chasing Darkness,Robert Crais,2008
The Magician's Apprentice,Trudi Canavan,2009
Earth Abides,George R. Stewart,1949
Keeping You a Secret,Julie Anne Peters,2007
The White Rose,Glen Cook,1985
A Spell for Chameleon,Piers Anthony,1977
Midnight Tides,Steven Erikson,2004
"PS, I Love You",Cecelia Ahern,2003
The Saving Graces,Patricia Gaffney,1999
Daughter of the Forest,Juliet Marillier,1999
Sea Swept,Nora Roberts,1998
The Shining,Stephen King,1977
Bloodline,Sidney Sheldon,1977
Touching Spirit Bear,Ben Mikaelsen,1997
Life of Pi,Yann Martel,2001
Torment,Lauren Kate,2010
Nutshell,Ian McEwan,2016
The Wizard Heir,Cinda Williams Chima,2007
Big Rock,Lauren Blakely,2016
Mercy,Jodi Picoult,1996
True Colors,Kristin Hannah,2009
L.A. Requiem,Robert Crais,1999
Seven Years to Sin,Sylvia Day,2011
If There Be Thorns,V.C. Andrews,1981
The Desert Spear,Peter V. Brett,2010
Grey,E.L. James,2015
Brother Odd,Dean Koontz,2006
The Firm,John Grisham,1991
Tricks,Ellen Hopkins,2009
Into the Wild,Erin Hunter,2003
The Never War,D.J. MacHale,2003
Delirium,Lauren Oliver,2011
Magic's Price,Mercedes Lackey,1990
Two States,Chetan Bhagat,2009
Footfall,"Larry Niven, Jerry Pournelle",1985
Zita the Spacegirl,Ben Hatke,2011
Waiting,Ha Jin,1999
Throne of Glass,Sarah J. Maas,2012
The Book of Negroes,Lawrence Hill,2007
The Wolf of Wall Street,Jordan Belfort,2007
It's In His Kiss,Julia Quinn,2005
Portrait in Death,J.D. Robb,2003
Islands in the Stream,Ernest Hemingway,1970
Darke,"Angie Sage, Mark Zug",2011
The Cove,Catherine Coulter,1996
Fablehaven,Brandon Mull,2006
Break No Bones,Kathy Reichs,2006
Too Much Happiness,Alice Munro,2009
Without Remorse,Tom Clancy,1993
Wild Cards,Simone Elkeles,2013
The Fuck-Up,Arthur Nersesian,1997
Throne of Jade,Naomi Novik,2006
One False Move,Harlan Coben,1998
A Matter of Honor,Jeffrey Archer,1985
Trunk Music,Michael Connelly,1997
Monsters,Ilsa J. Bick,2011
Calamity,Brandon Sanderson,2016
Amadeus,Peter Shaffer,1979
The Sky is Falling,Sidney Sheldon,2000
A Civil Campaign,Lois McMaster Bujold,1999
Rush,Maya Banks,2013
The Brass Verdict,Michael Connelly,2008
Ladies' Night ,Mary Kay Andrews,2013
Sharp Objects,Gillian Flynn,2006
The Incredible Journey,Sheila Burnford,1960
Where We Belong,Emily Giffin,2012
The Guilty,David Baldacci,2015
Ruby,Cynthia Bond,2014
Galveston,Nic Pizzolatto,2004
The Pagan Stone,Nora Roberts,2008
God Emperor of Dune,Frank Herbert,1981
Seduction in Death,J.D. Robb,2001
The Duchess War,Courtney Milan,2012
"Over Sea, Under Stone",Susan Cooper,1965
Burn,Maya Banks,2013
The Orphan Master's Son,Adam Johnson,2012
The Last Star,Rick Yancey,2016
Intensity,Dean Koontz,1987
Going Too Far,Jennifer Echols,2009
The Guard,Kiera Cass,2014
"Alex Cross, Run",James Patterson,2013
Need,Carrie Jones,2008
"Screw It, Let's Do It",Richard Branson,2006
The Codex,Douglas Preston,2003
The Revenge of Seven,Pittacus Lore,2014
King Solomon's Mines,H. Rider Haggard,1885
Good Grief,Lolly Winston,2004
Extras,Scott Westerfeld,2006
The Dharma Bums,Jack Kerouac,1958
Life after God,Douglas Coupland,1994
London Bridges,James Patterson,2004
The Lost Years of Merlin,T.A. Barron,1996
Fish In A Tree,Lynda Mullaly Hunt,2015
Darkest Fear,Harlan Coben,1999
A Long Way From Chicago,Richard Peck,1998
Bearing an Hourglass,Piers Anthony,1984
The Life We Bury,Allen Eskens,2014
The Winter Rose,Jennifer Donnelly,2008
Moscow Rules,Daniel Silva,2008
The Once and Future King,T.H. White,1958
Ashfall,Mike Mullin,2011
Equus : a play,Peter Shaffer,1973
Warm Bodies,Isaac Marion,2010
Harvesting the Heart,Jodi Picoult,1993
Pale Demon,Kim Harrison,2011
Consent to Kill,Vince Flynn,2005
I'll Give You the Sun,Jandy Nelson,2014
Reaper Man,Terry Pratchett,1991
Sing You Home,Jodi Picoult,2011
The Brooklyn Follies,Paul Auster,2005
Plague,Michael  Grant,2011
The Keep ,F. Paul Wilson,1981
People of the Book,Geraldine Brooks,2008
Fairest,Marissa Meyer,2015
Spells,Aprilynne Pike,2009
The Auschwitz Escape,Joel C. Rosenberg,2014
The Survivors Club,Lisa Gardner,2002
The Vacationers,Emma Straub,2014
Imajica,Clive Barker,1991
Pop Goes the Weasel,James Patterson,1999
Lord Brocktree,Brian Jacques,2000
Suspect,Robert Crais,2013
Whispers,Dean Koontz,1980
In Cold Blood,Truman Capote,1965
Tar Baby,Toni Morrison,1981
What Alice Forgot,Liane Moriarty,2009
Wild Fire,Nelson DeMille,2006
Area 7,Matthew Reilly,2001
While I Was Gone,Sue Miller,1998
The Painter,Peter Heller,2014
Fool's Quest,Robin Hobb,2015
Ceremony,Leslie Marmon Silko,1977
Black Order,James Rollins,2006
Siege of Darkness,R.A. Salvatore,1993
On the Fence,Kasie West,2014
Princess in the Spotlight,Meg Cabot,2001
Champion,Marie Lu,2013
Canada,Richard Ford,2012
Stone Soup,Jon J. Muth,2003
Rebel Heart,Moira Young,2012
I Was So Mad (Look-Look),Mercer Mayer,1983
Dragon Prince,Melanie Rawn,1985
The Bronze Bow,Elizabeth George Speare,1961
Red,Ted Dekker,2004
Miles to Go,Richard Paul Evans,2011
After We Fell,Anna Todd,2014
City of Bones,Michael Connelly,2002
Dark Prince,Christine Feehan,1999
Twenty Boy Summer,Sarah Ockler,2009
Nevermore,James Patterson,2012
Contact,Carl Sagan,1985
Class A (Cherub #2),Robert Muchamore,2004
The Taking,Dean Koontz,2004
Dreams from My Father,Barack Obama,1995
Austenland,Shannon Hale,2007
Wondrous Strange,Lesley Livingston,2009
White Cat,Holly Black,2010
First Drop of Crimson,Jeaniene Frost,2010
Ricochet,Sandra Brown,2006
Back on Blossom Street,Debbie Macomber,2007
When She Woke,Hillary Jordan,2011
Mister B. Gone,Clive Barker,2007
Shattered,"K.R. Dwyer, Dean Koontz",1973
The House On Tradd Street,Karen   White,2008
Dorothy Must Die,Danielle  Paige,2014
The Shelters of Stone,Jean M. Auel,2002
Perfect,Sara Shepard,2007
Rebel Angels,Libba Bray,2005
Visions of Sugar Plums,Janet Evanovich,2002
The Bees,Laline Paull,2014
Light in August,William Faulkner,1932
Blood Promise,Richelle Mead,2009
Heart of Darkness,Joseph Conrad,1899
Fear of Flying,Erica Jong,1973
Sunset Express,Robert Crais,1996
The Crystal Cave,Mary  Stewart,1970
The Blade Itself,Joe Abercrombie,2006
Red Storm Rising,Tom Clancy,1986
Sweetheart,Chelsea Cain,2008
My Blood Approves,Amanda Hocking,2010
The BFG,"Roald Dahl, Quentin Blake",1982
River God,Wilbur Smith,1993
Owen,Kevin Henkes,1993
The Hollow,Nora Roberts,2008
The Hit,David Baldacci,2013
Strangers in Death ,J.D. Robb,2008
Ten Tiny Breaths,K.A. Tucker,2012
Living Dead Girl,Elizabeth Scott,2008
Blockade Billy,Stephen King,2010
Chasing Harry Winston,Lauren Weisberger,2008
MEG: A Novel of Deep Terror,Steve Alten,1997
The Fog,James Herbert,1975
Belong to Me,Marisa de los Santos,2008
Dragonsinger,Anne McCaffrey,1977
To Have and to Hold ,Jane Green,2002
The Best Man,Kristan Higgins,2013
Maine,J. Courtney Sullivan,2011
The Overlook,Michael Connelly,2007
Babyville,Jane Green,2001
Olympos,Dan Simmons,2005
John Dies at the End,David Wong,2007
Black Cherry Blues,James Lee Burke,1989
Succubus On Top,Richelle Mead,2008
Honolulu,Alan Brennert,2009
Dreamland ,Sarah Dessen,2000
Victims,Jonathan Kellerman,2012
A Midsummer's Nightmare,Kody Keplinger,2012
Midnight's Children,Salman Rushdie,1981
Stars Above,Marissa Meyer,2016
Magic Slays,Ilona Andrews,2011
The Son of Neptune ,Rick Riordan,2011
Prior Bad Acts,Tami Hoag,2006
All Tomorrow's Parties,William Gibson,1999
Angel Falls,Kristin Hannah,2000
The Green Mile,Stephen King,1996
Asylum,Madeleine Roux,2013
The Haj,Leon Uris,1984
Divine Justice,David Baldacci,2008
Sea of Silver Light,Tad Williams,2001
The Awakening,L.J. Smith,1991
The Great Hunt,Robert Jordan,1990
Double Fudge,Judy Blume,2002
Eligible,Curtis Sittenfeld,2016
The Dot,Peter H. Reynolds,2003
Unnatural Exposure,Patricia Cornwell,1997
One Good Turn,Kate Atkinson,2006
Glass Houses,Rachel Caine,2006
The Johnstown Flood,David McCullough,1968
The Nature of the Beast,Louise Penny,2015
The Gemini Contenders,Robert Ludlum,1976
Lost Souls,Poppy Z. Brite,1992
My Sister's Keeper,Jodi Picoult,2004
Icy Sparks,Gwyn Hyman Rubio,1998
Street Magic,Tamora Pierce,2001
Think of a Number,John Verdon,2010
M Train,Patti Smith,2015
Straight Man,Richard Russo,1997
"Cry, The Beloved Country",Alan Paton,1948
Night Probe!,Clive Cussler,1981
Broken Homes,Ben Aaronovitch,2013
Alice in Zombieland,Gena Showalter,2012
City of Thieves,David Benioff,2008
The King of Attolia,Megan Whalen Turner,2006
It's Kind of a Funny Story,Ned Vizzini,2006
From Potter's Field,Patricia Cornwell,1995
Ender's Game,Orson Scott Card,1985
Addicted,Zane,1998
A Hunger Like No Other,Kresley Cole,2006
The Coldest Winter Ever,Sister Souljah,1999
The Bell Jar,Sylvia Plath,1963
Cosmopolis,Don DeLillo,2003
The Secret,Julie Garwood,1992
Mastiff,Tamora Pierce,2011
Red Rabbit,Tom Clancy,2002
Boneshaker ,Cherie Priest,2009
Cross Fire,James Patterson,2010
The Gift,"James Patterson, Ned Rust",2010
Point of Impact,Stephen Hunter,1993
Cometh the Hour,Jeffrey Archer,2016
The Starter Wife,Gigi Levangie Grazer,2005
The Places In Between,Rory Stewart,2004
Girl in Translation,Jean Kwok,2010
Dark Legend,Christine Feehan,2002
Castle of Wizardry,David Eddings,1984
Surface Detail,Iain M. Banks,2010
The Mediterranean Caper,Clive Cussler,1973
The Lincoln Lawyer ,Michael Connelly,2005
The Last Coyote,Michael Connelly,1995
Princess of Glass,Jessica Day George,2010
The Host,Stephenie Meyer,2008
Spider's Bite,Jennifer Estep,2010
Undead and Unwed,MaryJanice Davidson,2004
Day by Day Armageddon,J.L. Bourne,2004
Gateway,Frederik Pohl,1977
King of the Murgos,David Eddings,1988
P.S. I Still Love You,Jenny Han,2015
The Young Elites,Marie Lu,2014
We3,"Grant Morrison, Frank Quitely",2005
Brick Lane,Monica Ali,2003
"To Sir Phillip, With Love",Julia Quinn,2003
Illuminae,"Amie Kaufman, Jay Kristoff",2015
The Long Haul ,Jeff Kinney,2014
Exit to Eden,"Anne Rampling, Anne Rice",1985
The Fold,Peter Clines,2015
Even Now,Karen Kingsbury,2005
Skellig,David Almond,1998
The Gashlycrumb Tinies,Edward Gorey,1963
Lucky You,Carl Hiaasen,1991
A Stolen Life,Jaycee Dugard,2011
Man and Boy,Tony Parsons,1999
The Giving Tree,Shel Silverstein,1964
The Selection,Kiera Cass,2012
Lord of the Flies ,William Golding,1954
My Sunshine Away,M.O. Walsh,2015
The Last Continent,Terry Pratchett,1998
Castle in the Air,Diana Wynne Jones,1990
Winter Stroll,Elin Hilderbrand,2015
Wedding Night,Sophie Kinsella,2013
Sever,Lauren DeStefano,2013
A Single Man,Christopher Isherwood,1964
The Raven King,Maggie Stiefvater,2016
Fire Sea,"Margaret Weis, Tracy Hickman",1991
Night Road,Kristin Hannah,2011
Eyes of Prey,John Sandford,1991
Labyrinth,Kate Mosse,2005
Rock Chick,Kristen Ashley,2008
Hallowe'en Party,Agatha Christie,1969
The Scorpio Races,Maggie Stiefvater,2011
Moon Called,Patricia Briggs,2006
Proven Guilty,Jim Butcher,2006
Rough Country,John Sandford,2009
Nineteen Minutes,Jodi Picoult,2007
Fall on Your Knees,Ann-Marie MacDonald,1996
Then Came You,Jennifer Weiner,2010
The Mixed-Up Chameleon,Eric Carle,1975
Weaveworld,Clive Barker,1987
Switched,Amanda Hocking,2010
The Underworld,Jessica Sorensen,2011
The Passion of Artemisia,Susan Vreeland,2001
Catching Jordan,Miranda Kenneally,2011
Paradise Kiss 1,Ai Yazawa,2000
Open Season,Linda Howard,2001
Dune Messiah ,Frank Herbert,1969
Heat Rises,Richard Castle,2011
Fly Away Home,Jennifer Weiner,2010
Starship Troopers,Robert A. Heinlein,1959
Apollyon,Jennifer L. Armentrout,2013
From Here to Eternity,James  Jones,1951
Rumor Has it,Jill Mansell,2009
Dark Angel,V.C. Andrews,1986
Succubus Dreams ,Richelle Mead,2008
The Space Between Us,Thrity Umrigar,2006
The Paris Architect,Charles Belfoure,2013
The Circle,Dave Eggers,2013
Feast of Fools,Rachel Caine,2008
War Horse,Michael Morpurgo,1982
Lover at Last,J.R. Ward,2013
Sudden Prey,John Sandford,1996
A Game of Thrones,George R.R. Martin,1996
Nation,Terry Pratchett,2008
Room,Emma Donoghue,2010
Spell Bound,Rachel Hawkins,2012
Mariana,Susanna Kearsley,1994
Pretty Girls,Karin Slaughter,2015
Are You My Mother?,P.D. Eastman,1960
Love Medicine,Louise Erdrich,1984
Devil May Cry,Sherrilyn Kenyon,2007
Shantaram,Gregory David Roberts,2003
Luck in the Shadows,Lynn Flewelling,1996
The Day of the Jackal,Frederick Forsyth,1971
The Stainless Steel Rat,Harry Harrison,1961
The Hotel New Hampshire,John Irving,1981
The Woman in Cabin 10,Ruth Ware,2016
Nobody's Fool,Richard Russo,1993
Bridge to Haven,Francine Rivers,2014
A Tree Grows In Brooklyn ,Betty  Smith,1943
Great House,Nicole Krauss,2010
"Ramona Quimby, Age 8",Beverly Cleary,1981
Fool,Christopher Moore,2009
Moriarty,Anthony Horowitz,2014
The Turner House,Angela Flournoy,2015
The Rivers of Zadaa,D.J. MacHale,2005
You Had Me At Hello,Mhairi McFarlane,2012
Fool Moon ,Jim Butcher,2001
Quicksilver,Neal Stephenson,2003
What Happened to Goodbye,Sarah Dessen,2011
The Body Farm,Patricia Cornwell,1994
The Merchant of Death,D.J. MacHale,2002
The Son of Sobek,Rick Riordan,2013
The Complete Maus,Art Spiegelman,1986
Insatiable,Meg Cabot,2010
High Noon,Nora Roberts,2007
Angels,Marian Keyes,2002
Once a Runner,John L. Parker Jr.,1978
A Million Suns ,Beth Revis,2012
Behind Her Eyes,Sarah Pinborough,2017
The Yearling,Marjorie Kinnan Rawlings,1930
Party Princess,Meg Cabot,2006
No Mercy,Sherrilyn Kenyon,2010
Rhett Butler's People,Donald McCaig,2007
Scorpia,Anthony Horowitz,2004
L is for Lawless,Sue Grafton,1994
Rainbow Boys,Alex   Sanchez,2001
The Tenth Insight ,James Redfield,1996
Presumed Innocent,Scott Turow,1986
Thunderstruck,Erik Larson,2006
The Shoemaker's Wife,Adriana Trigiani,2012
